date,term,value
2017-05-28,OECD,31
2017-06-04,OECD,32
2017-06-11,OECD,30
2017-06-18,OECD,26
2017-06-25,OECD,24
2017-07-02,OECD,23
2017-07-09,OECD,25
2017-07-16,OECD,24
2017-07-23,OECD,24
2017-07-30,OECD,22
2017-08-06,OECD,22
2017-08-13,OECD,21
2017-08-20,OECD,22
2017-08-27,OECD,23
2017-09-03,OECD,26
2017-09-10,OECD,30
2017-09-17,OECD,29
2017-09-24,OECD,27
2017-10-01,OECD,29
2017-10-08,OECD,31
2017-10-15,OECD,37
2017-10-22,OECD,32
2017-10-29,OECD,32
2017-11-05,OECD,33
2017-11-12,OECD,34
2017-11-19,OECD,32
2017-11-26,OECD,33
2017-12-03,OECD,35
2017-12-10,OECD,31
2017-12-17,OECD,23
2017-12-24,OECD,15
2017-12-31,OECD,20
2018-01-07,OECD,27
2018-01-14,OECD,28
2018-01-21,OECD,28
2018-01-28,OECD,29
2018-02-04,OECD,28
2018-02-11,OECD,27
2018-02-18,OECD,29
2018-02-25,OECD,31
2018-03-04,OECD,31
2018-03-11,OECD,33
2018-03-18,OECD,31
2018-03-25,OECD,30
2018-04-01,OECD,29
2018-04-08,OECD,31
2018-04-15,OECD,30
2018-04-22,OECD,30
2018-04-29,OECD,28
2018-05-06,OECD,27
2018-05-13,OECD,29
2018-05-20,OECD,30
2018-05-27,OECD,32
2018-06-03,OECD,29
2018-06-10,OECD,27
2018-06-17,OECD,26
2018-06-24,OECD,23
2018-07-01,OECD,21
2018-07-08,OECD,22
2018-07-15,OECD,23
2018-07-22,OECD,20
2018-07-29,OECD,21
2018-08-05,OECD,20
2018-08-12,OECD,21
2018-08-19,OECD,22
2018-08-26,OECD,22
2018-09-02,OECD,25
2018-09-09,OECD,28
2018-09-16,OECD,27
2018-09-23,OECD,27
2018-09-30,OECD,27
2018-10-07,OECD,28
2018-10-14,OECD,29
2018-10-21,OECD,29
2018-10-28,OECD,26
2018-11-04,OECD,27
2018-11-11,OECD,30
2018-11-18,OECD,29
2018-11-25,OECD,30
2018-12-02,OECD,28
2018-12-09,OECD,28
2018-12-16,OECD,22
2018-12-23,OECD,14
2018-12-30,OECD,16
2019-01-06,OECD,23
2019-01-13,OECD,25
2019-01-20,OECD,26
2019-01-27,OECD,26
2019-02-03,OECD,25
2019-02-10,OECD,27
2019-02-17,OECD,28
2019-02-24,OECD,26
2019-03-03,OECD,31
2019-03-10,OECD,30
2019-03-17,OECD,30
2019-03-24,OECD,27
2019-03-31,OECD,28
2019-04-07,OECD,28
2019-04-14,OECD,26
2019-04-21,OECD,27
2019-04-28,OECD,27
2019-05-05,OECD,27
2019-05-12,OECD,29
2019-05-19,OECD,33
2019-05-26,OECD,28
2019-06-02,OECD,25
2019-06-09,OECD,26
2019-06-16,OECD,25
2019-06-23,OECD,24
2019-06-30,OECD,22
2019-07-07,OECD,23
2019-07-14,OECD,21
2019-07-21,OECD,18
2019-07-28,OECD,18
2019-08-04,OECD,18
2019-08-11,OECD,19
2019-08-18,OECD,20
